name,lat,lng,evalu,review_cnt
ＡＫ　ＳＴＡＲ　ＨＯＴＥＬ　ＴＯＫＹＯ,35.6915433,139.8248675,3.9,7
ホテルアカイ,35.7448562,139.8549769,3.7,154
サウナ　カプセルホテルコア２１,35.6846927,139.8635457,3.5,62
ホテルリブマックスBUDGET東京木場,35.6683096,139.8117716,2.6,367
アーバンホテル森下,35.687856,139.8031053,3.2,133
ホテル　サン・モリシタ,35.687813,139.801375,3.6,13
ＫＯＫＯ　ＨＯＴＥＬ　東京西葛西,35.6632778,139.8603129,2.9,8
レジデンシャルホテルベヴェル東京,35.7433891,139.8336792,2.3,10
スーパーホテルPremier東京駅八重洲中央口　高濃度炭酸泉,35.6792894,139.7698372,4.5,4692
京王プレッソイン大手町,35.6879249,139.77012,4.0,3314
亀島川温泉　新川の湯　ドーミーイン東京八丁堀,35.6744295,139.7807357,4.5,96
スーパーホテル東京・日本橋三越前,35.6875984,139.7788111,4.3,1369
ロイヤルパークホテル,35.6823199,139.7866324,4.6,2514
スーパーホテルPremier秋葉原　天然温泉　奥湯河原の湯,35.6966324,139.7744886,4.4,739
東京ステーションホテル,35.6809928,139.7658873,4.8,895
明神の湯　ドーミーインＰＲＥＭＩＵＭ神田,35.6955236,139.7706381,4.5,54
ホテルメトロポリタン丸の内,35.6838969,139.7685697,4.6,2630
帝国ホテル 東京,35.672454,139.7579015,4.8,1832
スーパーホテルPremier銀座　天然温泉　奥湯河原の湯,35.670749,139.7684456,4.5,72
伝馬の湯　ドーミーインＰＲＥＭＩＵＭ東京小伝馬町,35.6903542,139.7781281,4.5,81
天然温泉七宝の湯ドーミーインＰＲＥＭＩＵＭ銀座,35.6676219,139.7657268,4.5,145
京急ＥＸイン東銀座,35.6672711,139.770414,4.2,1714
Ｌ　ｓｔａｙ＆ｇｒｏｗ晴海,35.6549256,139.7797659,4.4,1905
三井ガーデンホテル京橋,35.6784447,139.7708061,4.7,18
アパホテル〈人形町駅北〉,35.6882302,139.781623,4.3,1219
ホテルリソル秋葉原,35.6967217,139.7739352,4.4,52
ホテルかずさや,35.6895989,139.7743052,4.5,78
丸ノ内ホテル,35.683357,139.766589,4.6,519
プレミアホテル-CABIN PRESIDENT-東京,35.6552852,139.7810392,4.7,227
アパホテル〈日本橋馬喰横山駅前〉,35.6925034,139.7832008,4.3,252
レム日比谷,35.6726062,139.7596706,4.3,71
ザ・ゲートホテル東京 by HULIC（THE GATE HOTEL 東京 by HULIC),35.6729489,139.7615741,4.5,203
アパホテル〈八丁堀駅南〉,35.6731403,139.7754809,4.2,1161
ホテル八重の翠東京,35.6771812,139.7762154,4.3,343
東京海員会館,35.6551045,139.7793748,4.1,1631
ＪＲ西日本グループ　ヴィアイン東銀座,35.6671334,139.7705112,4.4,2686
アルモントイン東京日本橋,35.6818402,139.7821869,4.1,68
エスペリアイン日本橋箱崎,35.6832817,139.7902205,4.2,53
京王プレッソイン東京駅八重洲,35.678869,139.7699532,4.1,600
三井ガーデンホテル銀座五丁目,35.6688823,139.7667539,4.7,370
アパホテル〈八丁堀駅前〉,35.6757694,139.7781502,4.3,209
アパホテル〈銀座 新富町駅前〉【2026年3月リニューアル】,35.6716294,139.7737444,4.2,647
ソラリア西鉄ホテル銀座,35.6707725,139.7672454,4.2,990
アパホテル〈東日本橋駅前〉,35.6926292,139.7846788,4.1,77
京急ＥＸイン東京・日本橋,35.6786894,139.7780308,4.2,646
アパホテル〈日本橋浜町駅南〉,35.6863839,139.791599,4.1,1387
ホテルリソルステイ秋葉原,35.6964382,139.7732619,4.5,32
東横ＩＮＮ東京駅新大橋前,35.6872668,139.7904398,4.2,734
ホテルマリナーズコート東京,35.6529293,139.7791115,4.4,264
アパホテル〈日本橋 馬喰町駅前〉,35.6931177,139.7824977,4.3,254
三井ガーデンホテル銀座プレミア,35.6671058,139.7632279,4.4,4362
アパホテル〈神田駅東〉,35.6920767,139.7751531,4.1,1058
西鉄イン日本橋（人形町）,35.6853467,139.7796563,3.9,3280
ＨＡＭＡＣＨＯ　ＨＯＴＥＬ　ＴＯＫＹＯ（浜町ホテル東京）,35.687647,139.7888534,4.5,237
銀座国際ホテル,35.6680018,139.7604198,4.3,2075
アパホテル〈秋葉原駅東〉,35.6974214,139.7769896,4.3,35
変なホテル東京銀座,35.6700875,139.7739054,4.2,306
ＫＫＲホテル東京（国家公務員共済組合連合会東京共済会館）,35.69070026,139.7606311,4.5,964
京王プレッソイン神田,35.6947372,139.7690977,4.0,2059
女性だけが泊まれるカプセルホテル　秋葉原ＢＡＹ　ＨＯＴＥＬ,35.6999606,139.7750218,4.1,631
レム東京京橋,35.676866,139.7703765,4.3,39
スマイルホテル東京日本橋,35.6790642,139.7798485,4.0,2506
アパホテル〈小伝馬町駅前〉,35.6911138,139.7805673,4.1,1067
ホテル京阪 築地銀座 グランデ,35.6684358,139.7740277,4.4,313
銀座キャピタルホテル　茜　（はとバス直営）,35.6694928,139.7745486,3.8,3651
アパホテル〈秋葉原駅前〉【2025年3月客室設備リニューアル】,35.6982627,139.7764786,4.2,540
コンフォートホテルERA東京東神田,35.694516,139.7796981,4.7,467
ＫＯＫＯ　ＨＯＴＥＬ　Ｐｒｅｍｉｅｒ　日本橋浜町,35.6872105,139.7873727,4.4,166
ザ・スクエアホテル銀座,35.6722578,139.7691355,4.5,139
トーセイホテルココネ神田,35.6895452,139.7691111,4.1,38
ホテルモントレ ラ・スールギンザ,35.6738746,139.7693678,4.2,1940
秋葉原ワシントンホテル,35.697269,139.773744,4.1,2137
アパホテル〈茅場町八丁堀駅前〉,35.6775769,139.7782608,4.1,118
アパホテル〈築地駅南〉,35.6660074,139.7750924,4.1,949
トーセイホテル ココネ築地銀座プレミア,35.6639906,139.7716542,4.3,89
東急ステイ築地（旧東急ステイ東銀座）,35.6697003,139.7671399,4.5,794
